listing_id,title,property_type,specific_type,bedrooms,area_sqft,price_ksh,county,city,area_name,url,price_disclosed,area_sqm,price_per_sqm,price_m,property_category
3836496,3 Bed Townhouse With Staff Quarters In Kitengela,Houses For Sale,Townhouses For Sale,3,46452.0,13500000.0,Kajiado,Kitengela,Kitengela,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kitengela-3836496,True,4315.530156,3128.236743110364,13.5,House/Townhouse
3836138,3 Bed Apartment With En Suite At Kilimani,Apartments For Sale,Other Apartments For Sale,3,,19000000.0,Nairobi,Kilimani,Kilimani,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-3836138,True,,,19.0,Apartment/Flat
3836031,0.5 Ac Land In Karen,Land For Sale,Other Land For Sale,0,5.0,47000000.0,Nairobi,Karen,Karen,https://www.buyrentkenya.com/listings/05-ac-land-for-sale-karen-3836031,True,0.464515,101180801.48111472,47.0,Land
3836564,2 Bed House With En Suite At 00502,Houses For Sale,Other Houses For Sale,2,13.0,7500000.0,Nairobi,Kilimani,Kilimani,https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-kilimani-3836564,True,1.207739,6209950.991066779,7.5,House/Townhouse
3836319,4 Bed Townhouse With En Suite In Kiambu Road,Houses For Sale,Townhouses For Sale,4,,65000000.0,Nairobi,Kiambu Road,Kiambu Road,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3836319,True,,,65.0,House/Townhouse
3836398,Land In Kileleshwa,Land For Sale,Other Land For Sale,0,,1500000000.0,Nairobi,Kileleshwa,Kileleshwa,https://www.buyrentkenya.com/listings/land-for-sale-kileleshwa-3836398,True,,,1500.0,Land
3835591,3 Bed Apartment With En Suite At Westlands,Apartments For Sale,Other Apartments For Sale,3,118.0,15100000.0,Nairobi,Westlands,Westlands Area,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-3835591,True,10.962554,1377416.248075038,15.1,Apartment/Flat
3835590,Studio Apartment With En Suite At Westlands,Apartments For Sale,Other Apartments For Sale,0,36.0,4900000.0,Nairobi,Westlands,Westlands Area,https://www.buyrentkenya.com/listings/studio-apartment-for-sale-westlands-area-3835590,True,3.344508,1465088.4375220512,4.9,Apartment/Flat
3825398,2 Bed Apartment With Swimming Pool In Tatu City,Apartments For Sale,Other Apartments For Sale,2,,10400000.0,Kiambu,Ruiru,Tatu City,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-tatu-city-3825398,True,,,10.4,Apartment/Flat
3825399,3 Bed Townhouse With Swimming Pool In Tatu City,Houses For Sale,Townhouses For Sale,3,,35000000.0,Kiambu,Ruiru,Tatu City,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-tatu-city-3825399,True,,,35.0,House/Townhouse
3836553,5 Bed House With En Suite In Runda,Houses For Sale,Other Houses For Sale,5,25.0,65000000.0,Nairobi,Westlands,Runda,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3836553,True,2.322575,27986179.13307428,65.0,House/Townhouse
3836543,4 Bed House With Staff Quarters At Old Runda,Houses For Sale,Other Houses For Sale,4,5.0,100000000.0,Nairobi,Westlands,Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3836543,True,0.464515,215278301.02364832,100.0,House/Townhouse
